mean.a	mean.b	logFC
BARD1	0.17153784	0.0246530425	-2.79868924985973
ATP6AP1	0.242364765	0.4519562375	0.899003109603081
ABCB11	0.0009056675	0.00049202	-0.88026452668365
BAG1	0.4890979075	0.4613595	-0.0842319284464312
CDC45L	0.54150169	0.0009699425	-9.12485090090002
ALDH4A1	0.2573256	0.3072716275	0.255919568619389
BECN1	0.2217507825	0.4109484975	0.890018402722002
B2M	21.334930555	8.6244566425	-1.30671194242029
BCL2A1	0.2090606675	0.0246371425	-3.08501481786677
ANXA13	0.00073645	0.00122662	0.736028894967511
BPHL	0.3243862525	0.1929255575	-0.749668404657261
CAD	1.156780835	0.18411646	-2.65142504129536
CALR	19.72081501	7.4658648375	-1.40133788043648
BRPF1	0.32657271	0.3031138175	-0.107544618195548
CALB1	0.01716748	1.5543206325	6.50046204718774
CCS	0.47635521	0.444846875	-0.0987289503903306
CDX4	0.00051	0.00048939	-0.0595126248204991
CASP5	0.00051	0.001255825	1.30006628558183
CEACAM5	0.06703175	0.00048939	-7.09771616633211
CDK5R1	0.0942043025	2.724643875	4.85413091218018
ATOH1	0.0066142425	0.00048939	-3.75651941309287
ADRB1	0.045861545	0.3580267125	2.9647103686215
ATP1A2	0.087297315	6.1089558275	6.12884471679999
ATP6V1B1	0.0309981375	0.00363659	-3.0915233485129
CCR3	0.033006	0.0008803325	-5.22853596859238
CCNB2	2.7391229775	0.016068375	-7.41334619330468
CDKN1A	0.404017875	0.4071068275	0.0109882931268603
BIRC2	0.445887385	0.2487805725	-0.841805555143474
C16orf3	0.0997485575	0.05838085	-0.772800762139836
ALPI	0.02549362	0.00048939	-5.70300781279112
C11orf13	0.13592391	0.0743893575	-0.869631116629951
CDK5	0.5848102875	0.960116615	0.715240954853552
C4BPB	0.1273880625	0.00048939	-8.02402975177471
BAG4	0.2439787375	0.2453789525	0.00825608257903454
BAT1	2.3523805675	1.76235683	-0.416615416980588
ADORA2B	0.114319455	0.05675803	-1.01017452249579
ACAT1	0.572599795	0.42917195	-0.415971366920002
BYSL	0.4575931775	0.098969375	-2.20901146934534
BRCA2	0.2135110475	0.0032348275	-6.04447812825884
ALOX15	0.00465183	0.00048939	-3.24874184745757
BMP3	0.00051	0.007064645	3.7920479144336
AP1S1	0.82252217	0.7659562225	-0.102792626671101
AMD1	1.3089676475	1.4655092025	0.162972587285072
ACADVL	1.1810595175	0.5462444025	-1.11246317259471
PLAU	0.5263297125	0.0120303025	-5.45122201610538
PAX5	0.00321659	0.00049016	-2.7142073942316
RBM5	0.211985085	0.2223254575	0.0687103922429517
NRL	0.0042966425	0.00469993	0.129429526299979
RRH	0.00049585	0.00050505	0.0265224661639802
NTSR2	0.0008102075	0.125230425	7.27207795541563
NTS	2.3698959325	0.0236878775	-6.64453096341796
PTK2	0.6663682475	1.0402735925	0.642571444901596
PKIA	0.0615555975	0.5516508275	3.16379343079804
NRGN	0.276018555	16.401005585	5.89287520880209
PDGFRA	0.4056026325	0.225222175	-0.848718136195828
OPTN	0.532378955	1.9584843275	1.87921213577499
S100A12	0.00069251	0.0400877125	5.85518138185689
PPIF	0.361561535	0.1495645575	-1.27347286522218
PLXNC1	0.17801671	0.2129531225	0.258523214208192
S100P	0.4358904225	0.002642005	-7.366188497646
NELL1	0.0011638225	0.2099885025	7.49529548507918
ORC2L	0.1048801025	0.064334435	-0.705077948849296
PPP2R5B	0.1471412875	0.80504759	2.4518719497278
RPP30	0.4595374425	0.3721455475	-0.304315440110553
NPC2	2.4625989425	0.8630467525	-1.51267107092577
PSMC4	0.9045530125	0.646758975	-0.483976887171999
RPIP8	0.01909839	3.182787035	7.3806957933508
PDIA5	0.1014646775	0.0078991625	-3.68313406357738
RAB32	0.4770743525	0.0433746625	-3.45928969199467
NPM3	0.6225155375	0.0910801525	-2.772901234003
PWP1	0.4495457975	0.2567766975	-0.807953814111259
PICALM	0.714445255	0.9788710875	0.45429540873702
POLI	0.03533275	0.0474464675	0.425294638559579
MMD	0.672498055	0.477872915	-0.492903094637276
PADI4	0.0006835975	0.000693535	0.0208215706536503
PSD4	0.0608581725	0.008854315	-2.78099840745285
MRPL13	0.4798883975	0.1382561625	-1.79535514549819
ORC6L	0.2403555675	0.02347739	-3.35582628494516
RAB30	0.2294034375	0.4747693775	1.04933987492399
RB1CC1	0.205456795	0.3817070675	0.893630853993323
RNF10	0.9143644275	0.97688315	0.095416726434567
POLR1D	0.122265445	0.04114946	-1.57107131943924
PADI3	0.0034116925	0.00049016	-2.79916295911426
PRRX2	0.23680198	0.0049783675	-5.57186460066347
DTL	0.63022962	0.00121675	-9.01670097596077
MASK	0.3676998225	0.032440885	-3.50264339761989
NUDT11	0.0476861775	0.1300744425	1.44769447715551
NEIL3	0.3986593425	0.00055743	-9.48215011533058
RSAD1	0.1214864475	0.1164311125	-0.0613187580366792
C1orf103	0.0941638525	0.0219768075	-2.09919152032361
PBK	0.4726817975	0.000543075	-9.76550214215501
POLR1B	0.1454658375	0.0425688175	-1.77281145767567
NS3TP1	0.247135665	0.31427703	0.346733605754552
PELI1	0.16470394	0.3205386775	0.960623381586135
NDUFV3	0.348313225	0.3220332175	-0.113175742223669
NGB	0.00083679	0.0854169225	6.67351249873781
MRPL46	0.35379353	0.302635625	-0.225325839403415
RAB38	0.3319149	0.00206819	-7.32630085578836
OSBPL11	0.115352755	0.1234399	0.0977563375837427
MOSPD3	0.2117730075	0.1148246425	-0.883086423917836
MLPH	1.24424649	0.011422565	-6.76724185476268
PSTPIP2	0.0357483325	0.004868045	-2.87646153874505
PRKRIP1	0.48761159	0.502550995	0.0435375796221197
NIP30	0.1629251425	0.20852403	0.356004390501114
RUFY1	0.16097485	0.1163388125	-0.468502822244326
PUS3	0.0536033625	0.0260728525	-1.03977507319828
POU6F2	0.0189393175	0.04077916	1.10644771536157
PPARG	0.1365405575	0.040751455	-1.74440607186297
RRAGB	0.123589985	0.283017325	1.19532853029682
NCK1	0.22468523	0.1291135825	-0.799264512678763
REV1L	0.1002693675	0.192105355	0.938016808233257
MS4A4A	0.0068684525	0.00502117	-0.45196151789892
OR5V1	0.0063802475	0.00049016	-3.70228772798206
RNASE6	0.4399032425	0.0746702925	-2.55857994778609
P2RY5	0.11248941	0.0507659025	-1.14785746462356
PAICS	1.8210744525	0.2618537425	-2.7979567769003
OR1F1	0.003821465	0.01193009	1.64240720450867
PURG	0.025487015	0.21624915	3.08486013988732
PNMA3	0.01347004	0.3303996825	4.61638626031079
RAPGEFL1	0.1087222575	0.6810043525	2.64701670142707
RLN3R1	0.003371495	0.003043065	-0.147863307909539
SALL4	0.14136302	0.00177872	-6.31242153165661
NEDD8	2.60501648	2.4057757575	-0.114790324299134
PES1	1.6187338125	0.792247405	-1.03084283158476
MTCBP-1	0.5024040525	0.2993161325	-0.747178062255705
NKG7	0.0016567325	0.0063406925	1.93629973283299
RAD21	2.909201845	1.76116454	-0.724093694488288
RNUT1	0.2100914125	0.19665314	-0.0953639706986689
PDIA2	0.079430575	0.5049496525	2.6683731947001
NURIT	0.00049585	0.00049016	-0.0166509992948551
PPARD	0.64736607	0.746623955	0.205800044983839
MPP4	0.018438265	0.01594299	-0.209780685332571
RPP38	0.34270124	0.253190375	-0.436728850047643
NONO	2.2060535525	0.601854175	-1.8739819334791
PREI3	0.3599409275	0.6067680175	0.753384888809181
HIF1A	3.070171215	1.4518149975	-1.08046148828364
GBAS	0.905638305	0.7813652725	-0.212937843003016
INPPL1	0.711529095	0.14746427	-2.27055731331919
GFAP	0.212033255	45.021904875	7.73019273541536
GFPT1	1.1607051825	0.5629904925	-1.04381911208587
GLP1R	0.0021369	0.00195009	-0.1319786877581
GYS1	0.684599995	0.2506443775	-1.44961941012378
HSD17B2	0.1746231325	0.0008792375	-7.63377605213867
ITIH2	1.58656163	0.02280417	-6.12046209202651
ITIH3	0.22978253	0.0022693425	-6.66185094225715
KCNJ3	0.014388875	0.8076093575	5.81063192288595
KCNS3	0.018090025	0.017996115	-0.00750891046483382
KIF3C	0.184671745	2.6478087575	3.84176387056592
LIFR	0.0074861	0.0011416525	-2.71309073483158
LOXL2	1.7945070525	0.043453295	-5.36797820415259
LUM	0.8711633	0.011727515	-6.2149739268697
FURIN	0.020854055	0.00047418	-5.45874931385891
HGD	0.2424958975	0.0037242925	-6.02485014572084
ICAM1	0.3962022875	0.044181335	-3.16472829226048
G6PD	1.7856379075	0.4785953475	-1.89956128233991
IL4R	0.1999929775	0.0948058775	-1.07690093544679
IGFBP2	1.0332903	0.0491659175	-4.39344325632115
GABRA1	0.00382005	1.1599150925	8.24621196488929
GRM1	0.00350744	0.4950534775	7.14102214401431
GRM3	0.001621025	0.41513949	8.00054602334768
GSTP1	11.7121423625	3.54545771	-1.72396120193821
IL1R1	0.07179186	0.0362979775	-0.983931111337165
ITGB7	7.5458383725	0.0080026275	-9.88099172608957
JAK3	0.1316823375	0.1532473725	0.218800487972938
HOXD13	0.0322657775	0.00047418	-6.08842616591841
IGF2	10.373971295	0.08386111	-6.95075064144455
INSL4	0.0105881	0.00047418	-4.48086510140998
GRLF1	0.5972821	0.9143247775	0.614294230162466
LPL	0.045581605	0.3564718875	2.9672646754918
GP1BA	0.00049723	0.00047418	-0.0684785289398597
KIT	0.0629304475	0.5934094225	3.23719772785122
IL6	0.00787771	0.0031561225	-1.3196231059799
IL13	0.0005259025	0.0008469775	0.687528289778264
IL18R1	0.00256649	0.0050689625	0.981893851678743
KDR	0.0166189225	0.09547098	2.52223542156269
IGFBP5	0.7506396725	0.2794685675	-1.42543451214451
GABRA6	0.0033949625	0.87079201	8.00278872096408
GABRD	0.007891125	1.24548358	7.30225929335996
GRIA2	0.00639995	1.6338951625	7.99603906779572
IGF2R	0.3273375425	0.0865452875	-1.9192519049796
HBEGF	0.07453202	0.20014728	1.42512974377874
GSTT1	0.05804415	0.054996475	-0.0778115198548459
LGI1	0.01165752	0.6532341075	5.80826731079203
KCNK5	0.1207435	0.0009716225	-6.95733391197597
KYNU	0.716002505	0.0079730125	-6.48869589372655
HABP2	0.0008376875	0.0157548075	4.23323617094461
HADH2	1.2321786225	0.28248051	-2.12498817514278
KCNC3	0.0076141525	0.0024428325	-1.64012852083214
GOLGA5	0.6311485925	0.5218354875	-0.274384643420996
GIF	0.00049723	0.00047418	-0.0684785289398597
GRPR	0.02744301	0.0108124225	-1.34374893563676
GZMM	0.01606366	0.0005472025	-4.8755820072548
HIP2	0.3655321475	0.46674419	0.352633771360545
FLI1	0.1170622775	0.05848696	-1.00108934373822
HCFC1	0.4579933075	0.21541704	-1.08819414186207
ICAM3	0.2877764825	0.003546725	-6.34231741424971
JAK1	0.942138015	1.3682957425	0.538369764370883
LRP1	0.27412668	0.580099095	1.08145662004879
JAK2	0.2633557675	0.3444756925	0.387389129628076
LTA	0.0018213625	0.00431948	1.24583955829059
HS3ST1	0.0135258675	0.21821191	4.01193681471532
GAS1	0.4546918375	0.1934078825	-1.23324251120335
KCNA6	0.025836395	0.16362492	2.66291579952511
GPR65	0.004740215	0.0210173225	2.14855448754377
HOXB7	0.143067045	0.0011689175	-6.93537446952639
KCNQ2	0.00049723	0.00047418	-0.0684785289398597
GPR8	0.0324812975	0.043528455	0.422349550319934
GPR22	0.05181483	0.283608905	2.45246585425498
HIST1H1D	4.7123740125	0.7136776875	-2.72310947405648
HSPA6	0.05440373	0.0920152625	0.758167611554708
JUN	0.80967996	0.64395878	-0.330383426574319
KNG1	0.03320929	0.005877685	-2.49826693048674
JUNB	1.3811647275	0.676278915	-1.03019511661932
ITIH4	0.03897492	0.0694362475	0.833142921569638
HRG	0.0012148575	0.0007061625	-0.782714983457891
IGFBP1	1.86235758	0.0018460925	-9.97843954506291
KCNC1	0.0044090775	0.852084115	7.59437520949913
HIST1H3A	0.068194845	0.017863145	-1.93267658194734
FSCN1	2.278531065	1.13764974	-1.00204759153431
HIST3H3	0.015750895	0.00976983	-0.689028444102664
HDAC1	0.95624081	0.09625875	-3.31238438372565
GABRA4	0.0015405425	0.2998111825	7.60447190084799
GGH	0.476056215	0.1227496775	-1.95541270978401
G6PC	0.1051625925	0.00047418	-7.79297108392076
GLI3	0.45589933	0.2306218975	-0.983185785906934
KALRN	0.005382595	0.3321245525	5.94727869119086
HBZ	3.056264645	0.00158253	-10.915320908782
LMNA	5.8314699575	0.9013738675	-2.69366206470785
GULP1	0.01351285	0.00048363	-4.80428443683275
HUNK	0.0722661975	0.184182935	1.34974650865739
LOXL1	0.43351684	0.0057704425	-6.23126227134068
GPR64	0.00592364	0.0009661825	-2.61611633846926
IRS1	0.2419489575	0.164210545	-0.559155948317268
MAP3K5	0.08840676	0.456817625	2.36938971978196
LRRC17	0.0591980825	0.006901845	-3.1004964663662
MLLT4	0.360576165	0.3881642525	0.106363226861858
IQGAP2	0.153814135	0.005291555	-4.86135253651638
ITGB1BP2	0.0307761725	0.0066289525	-2.21496100072474
INPP5A	0.0881736325	0.5271424325	2.57977362601129
CD180	0.0141619175	0.011369665	-0.316826870389746
KLF10	0.825460755	0.164678225	-2.32554982288097
KIF20A	1.4134746225	0.00065812	-11.0686076953775
INADL	0.0633083425	0.08974414	0.50342211442104
KNTC2	0.3227142175	0.00050118	-9.33071257939408
GZMA	0.000655255	0.000842135	0.361995068463802
IRF6	0.0147789675	0.1927918925	3.70542699561312
MASP2	0.001763685	0.00048363	-1.8666172696413
HEAB	0.116172795	0.0541918125	-1.10012545681665
KIF3A	0.11536764	0.885677685	2.94054315749339
GUCA2B	0.00044329	0.00048363	0.125652921326409
MYLPF	0.0016595	0.0010714325	-0.63120766599318
HSU79274	0.2346703275	0.241813725	0.0432606979976207
LR8	0.00320149	0.094809905	4.88822237977254
IL1F6	0.00044329	0.00048363	0.125652921326409
JMJD2A	0.0408394	0.0344162175	-0.246873123441048
KIAA0773	0.0098688475	0.4925636775	5.64128482044475
KIAA0152	0.86944935	0.337347965	-1.3658645263757
KIAA0101	1.39842463	0.005860745	-7.89850271726664
KIAA0652	0.53769956	0.941704085	0.808473496838465
MELK	0.5086182825	0.000640255	-9.6337209914749
KIAA0196	0.10824966	0.0895373625	-0.273800767070533
VASH1	0.0373695775	0.1714133875	2.19754363146602
CLCC1	0.1545919825	0.1111012675	-0.47659022385773
LEPROTL1	0.5247569725	0.509608505	-0.0422600755431723
HS747E2A	0.00044329	0.00048363	0.125652921326409
LOC51066	0.01694768	0.00048363	-5.13104024437516
LOC51337	0.1545430075	0.0750433525	-1.04221219343451
LOC55831	0.8857938575	0.9785371225	0.143655590074312
MDS032	0.184107065	0.216706875	0.235199933166163
HCA112	0.00839366	0.2860995225	5.09107325407969
IL17RB	0.0512902775	0.064537135	0.33144415675136
KRT24	0.00044329	0.0016127575	1.86320680319372
IL1F9	0.0007776725	0.00048363	-0.685258984184346
LXN	0.0696193275	0.0145310575	-2.26034817901493
MEPE	0.00044329	0.027261925	5.94249280839308
LZTFL1	0.311824225	0.4167119075	0.41831731301215
HB-1	0.00044329	0.00048363	0.125652921326409
LGR7	0.00086267	0.09336706	6.75796105905737
ITM2B	0.6199382225	1.8527041475	1.57943615863542
TINAGL1	0.07149933	0.105230295	0.557548477356531
LHX5	0.0020517525	0.0130717275	2.67152119744936
MFSD1	0.323165845	0.1604501925	-1.01014920899221
7-Mar	0.2852194825	0.28592938	0.00358633693397836
HTR5A	0.001524285	0.1806437575	6.88887091730459
MGC4504	0.008984365	0.009771915	0.121224774476421
MAPKAP1	0.2403678975	0.1839019325	-0.386307588657628
LENG4	0.7029884275	0.60860171	-0.208002552617127
KLHL18	0.136814295	0.1437740075	0.0715839009046104
IQCG	0.050286465	0.08286016	0.720508466619201
HEY2	0.0319799575	0.092815	1.53718995921056
LHX6	0.0032190825	0.114754	5.15575108127594
C17orf40	0.3130452425	0.1251742375	-1.32243350879246
IARS	0.426675935	0.1451695425	-1.55540194479928
HOXB8	0.0126471925	0.0005015975	-4.65614319444065
LOC81691	0.0623066875	0.0155778575	-1.99989019283276
MEGF11	0.0006809075	0.034540155	5.66467192264678
KCNE1L	0.01327258	0.0873326325	2.71807199124962
BTBD15	0.2159135275	0.25088015	0.216544692652016
TAAR2	0.0030996925	0.00048363	-2.68014945822631
HYDIN	0.0094928475	0.2007803375	4.40263327543074
C16orf24	0.078970375	0.075913755	-0.0569502263954136
LRRC7	0.006596435	0.38335162	5.86083792627505
MGC2963	0.3491928	0.15193315	-1.20058712934642
MIA2	0.02462294	0.0005242775	-5.55352858870953
MAB21L1	0.02788943	0.71892993	4.68806081206426
KCTD5	0.2854893675	0.122296455	-1.22305443104191
HOXA5	0.02651277	0.0007736225	-5.09891384298357
KIAA1900	0.0154894475	0.64396248	5.37761904319765
HTRA4	0.0005768	0.00048363	-0.254167425556579
LOC132321	0.09980711	0.1550788725	0.635787652940414
HOXA7	0.0058410325	0.00048363	-3.59424776794441
HDHD1A	0.17540168	0.10355968	-0.760200153582534
KIF4A	0.3608957025	0.0034299725	-6.71724114412885
LIN28	1.11096114	0.0007580925	-10.5171468414023
MGC17337	0.336198005	0.179650865	-0.904115281861128
KCNE4	0.1538814325	0.0602663875	-1.35239367084564
LDHA	27.4158235375	3.6716664925	-2.900501885181
LYPLA2	0.6390554225	0.240725725	-1.40855073254047
SPDEF	0.054851875	0.0096786975	-2.5026561204855
SEMA3A	0.17267819	0.05227826	-1.72380284656834
WIF1	0.00076875	0.17607081	7.83942553029291
TRAF2	0.49148745	0.1985334575	-1.30777242271735
SLC16A2	0.0291442775	0.05436679	0.899513012017383
TRAF1	0.06835237	0.0193012125	-1.82429988136898
SLC17A2	0.0056405975	0.00046434	-3.6025945226662
TSPAN31	0.1944975375	0.2173766925	0.160445370820491
SIX1	0.042246945	0.0026996575	-3.96799872743135
TGOLN2	0.702581165	0.88818155	0.338189701938619
SLC2A1	1.7544318175	0.7283944925	-1.26821196232371
SLC22A7	0.004055	0.0013231975	-1.61567350059234
SLC38A3	0.1750009525	0.2513840425	0.522530298024957
SOX15	0.001018245	0.0628159425	5.94697412206583
STMN2	0.0332655625	7.7209454725	7.85860428507394
VIL1	0.037370115	0.00046434	-6.33055962768883
TU3A	0.04153213	7.3034091925	7.45819839022098
SLC6A14	0.0693394125	0.00046434	-7.22235023722606
SLCO2B1	0.010381955	0.07146238	2.78310582300463
TUSC2	0.0061174275	0.0118664625	0.955892915026214
SCRG1	0.01286346	2.51240429	7.60964607820354
TAGLN3	0.041386275	5.0234030675	6.92336882464579
ST8SIA5	0.0084718075	0.5291400075	5.96483588352564
SLC16A8	0.0004679975	0.0100210975	4.42039588631189
TMEM5	0.4449089775	0.21228198	-1.06752829966463
TTLL3	0.238186945	0.1521229375	-0.646856638565024
TTC15	0.35577726	0.4270355275	0.263381799111043
VPS24	0.447710405	1.16136048	1.37517809378542
TRIM17	0.01979173	0.196385675	3.31072006935525
TRPC4	0.00123354	0.04531188	5.19901294605244
VRK3	0.1323717475	0.1055505375	-0.326661310852869
SPTBN5	0.0028190475	0.018382995	2.7050921408333
UBN1	0.3286881875	0.2310502825	-0.508512755862961
SPOCK3	0.004868505	0.93114224	7.57937893489147
SURF2	0.13744099	0.0705981875	-0.961109283384681
TSC	0.406484085	0.3513775775	-0.210176736410637
SLC30A6	0.1961716125	0.1060968025	-0.886735110312351
TMEM19	0.085141375	0.086813625	0.0280610955349578
SEC5L1	0.22017626	0.19575535	-0.169607185048712
UEV3	0.1088937825	0.09302592	-0.22721692457801
TRIM36	0.017688245	0.079660615	2.17107570453012
XAB2	0.948566945	0.873431115	-0.119055668841768
SLC15A2	0.0154164625	0.11187019	2.85928198928386
SEZ6L	0.0126402575	0.5511849575	5.44643875702346
TNFAIP1	0.0851584775	0.101645525	0.25532463913107
TRIB2	1.327994115	0.4750475025	-1.48310506496267
UCP1	0.00046296	0.00046434	0.00429401623250492
TEX27	0.743062655	0.5332429525	-0.478690870256842
SRR	0.03425069	0.05285416	0.625883974189992
SLC13A1	0.00046296	0.00046434	0.00429401623250492
TPK1	0.0270265175	0.1040860775	1.94532957680448
SLC30A5	1.14789657	0.644275785	-0.833242377933071
SLC25A23	0.4301921	1.55972634	1.85823998825839
SHCBP1	0.097472465	0.00395534	-4.62312111061108
TREML2	0.00086598	0.0004816225	-0.84643091379405
TMC7	0.101356735	0.3133763125	1.62845417657838
WDR19	0.0619334375	0.11375284	0.877112137187038
SPTBN4	0.0027591425	0.3415842125	6.95187751837816
WNT4	0.007713055	0.012910515	0.743172247283995
STMN4	0.00789965	1.6646299775	7.71919707292814
TCF7L1	0.2855532675	0.060254155	-2.24462725790735
TFE3	0.3250702175	0.4575979375	0.493329165283533
TBR1	0.005290575	1.1177427775	7.72294797983836
TRPS1	0.2971748	0.3164706625	0.0907599823919849
TCF8	0.15853667	0.2955617325	0.898642911781885
TNFAIP3	0.8567054475	0.0619565325	-3.78947095344467
STAT1	0.431983575	0.3925981175	-0.137923203751001
9-Sep	8.920468595	3.401201395	-1.391075062624
SLC4A1AP	0.3366018475	0.469314735	0.479512661961982
SPATA20	0.126485705	0.139379185	0.140040778585323
WNT2B	0.0063413625	0.026428345	2.05922132806286
TOE1	0.0563091175	0.015665895	-1.84574134663374
SYNC1	0.0619309425	0.01525418	-2.02145577313276
ST3GAL4	0.083905385	0.0120773525	-2.79645917165818
TLE4	0.12900838	0.460509865	1.83576728006435
SUGT1	1.1631210275	1.6511762325	0.505492886519373
USP28	0.3038368975	0.1907039575	-0.671962296358785
TMSB10	38.8011453925	18.17319627	-1.09428706018422
TEX13B	0.000651585	0.00046434	-0.488771826816038
TBN	0.152172515	0.06606696	-1.20370693928485
SHC3	0.02942976	0.51155614	4.1195448929256
CD300LG	0.00046296	0.00046434	0.00429401623250492
STAG3	0.057753375	0.00714974	-3.01394257299969
THUMPD1	0.2456435625	0.195455415	-0.329726876984294
TAIP-2	0.003329235	0.4310869675	7.01664442852031
TFG	0.7943257775	0.40779141	-0.961899436719811
ST18	0.00313525	0.7089735025	7.82100741241093
SMAP	0.88230871	0.803140235	-0.135631610700005
SEMA4G	0.1410056725	0.116741175	-0.272439707661968
TXNDC10	0.15745317	0.17326625	0.138067860231326
TMSL8	0.197998775	0.0045269825	-5.45079796473085
STARD8	0.108831035	0.05711494	-0.930149946962228
RB1	0.37546639	0.19507654	-0.944643481020002
BIRC5	1.6412438025	0.00380612	-8.75225280016632
CHAD	0.0035040425	0.375389335	6.74322357955876
CHGA	0.0108050725	2.9285006975	8.08230967539652
ABCD1	0.084479225	0.0118899075	-2.8288591083026
CD3E	0.6052782975	0.0026535375	-7.83353787615859
VWF	0.014461435	0.70797527	5.61341634467075
ZNF262	0.7326805375	0.952162755	0.378023903959454
ZNF258	0.0080752325	0.0048894325	-0.72383677197708
WRN	0.138306055	0.037544915	-1.88117488798518
ZNF146	0.3563656425	0.2378324325	-0.583412787645942
AFP	5.7411715	0.0004450275	-13.6551630432836
IL1B	0.0258687325	0.068045295	1.39528604237434
VCAM1	0.03816601	0.0231404625	-0.721870671006064
FLT3	0.0008277125	0.09320035	6.81506181753193
CGA	0.8380731175	0.0007206425	-10.1835766642499
CHEK1	0.0761239725	0.0020601125	-5.20755582173077
MAPK14	0.9458998675	0.819762445	-0.206481569986308
TGFA	0.04277893	0.089603675	1.06665750629432
MAP3K14	0.095400295	0.10379803	0.121713430307102
MAP3K8	0.009034365	0.00959543	0.0869242576679232
WNT1	0.0009715975	0.0010123425	0.0592667883934332
RARRES3	0.23115954	0.354553275	0.617113518284706
XK	0.0493562975	0.0780443	0.661059094493436
ZP2	0.00037563	0.0618198225	7.36261341201919
FPGT	0.0685736275	0.17014966	1.31107852149545
ABCD2	0.00801394	0.322184095	5.32922975680741
TROAP	0.5409680575	0.000836495	-9.33697077768752
ABCA1	0.084815225	0.0520457425	-0.704543111632492
DMXL1	0.13035988	0.2937505	1.17209137817903
MLANA	0.6814611325	0.00044358	-10.5852213399849
HMGCS2	0.00436368	0.00049813	-3.13095110356395
COG2	0.3781586675	0.4463540475	0.239196821962547
COMMD3	0.336262585	0.36002947	0.0985267391994706
GTF3C5	0.897982225	0.6735510475	-0.414899598309459
ZNF225	0.0087820075	0.0122920775	0.485106096416273
SEC24D	0.569626645	0.1838150025	-1.63176211132043
CRELD1	0.0754328825	0.2073679025	1.458927141992
ZBTB20	0.111460915	0.7007828325	2.65242953091543
GTF2A1	0.24075076	0.4590958775	0.931255124912052
ZNF331	0.134509845	0.3586061675	1.4146885307542
ZNF167	0.0042919475	0.013782985	1.68318403436056
MOSPD1	0.173750945	0.0716771	-1.27743665105119
ZNF350	0.05831513	0.1373910175	1.23634553736236
APOBEC3G	0.0568062025	0.0102062875	-2.47659027534834
NR0B2	0.1690966575	0.0016974075	-6.63837137520421
ZNF557	0.1208543075	0.1849976125	0.614237757371941
SE57-1	0.015312145	0.0176463375	0.204692386236402
COASY	0.557797055	0.289677725	-0.945291565706103
RARA	0.56640735	0.285143955	-0.990149538553579
ZNF140	0.0180123275	0.0240551925	0.417363730431761
ZNF192	0.08763542	0.0793831125	-0.142681958721576
ABCA2	0.5069174775	3.5872927	2.82307265359472
P2RXL1	0.051518455	0.0987228825	0.938295190001249
FOXA1	0.822452145	0.0004586075	-10.8084560729147
ZFP36L2	2.7611138475	0.87697756	-1.65463854226775
ZNF358	0.2846230275	0.7958707575	1.4834817804391
FMO5	0.2077161075	0.0314241775	-2.72466620639181
ZNF101	0.182545865	0.0669433125	-1.44724714386687
ZIM3	0.00037563	0.00044358	0.239882029547861
MMP21	0.0006680075	0.0040525	2.60087598009842
ZSCAN4	0.00196917	0.001107605	-0.830144194106692
ZNF434	0.0435037575	0.0439717325	0.0154363617237028
ZNF548	0.1178413375	0.150043825	0.348538236380982
WNT2	0.00037563	0.01430224	5.2507850180509
VAMP3	0.8235985425	1.051602715	0.352576589798415
ZMYM1	0.2219601625	0.070479135	-1.65503264123102
SELE	0.0007537025	0.0049263725	2.70845863594943
LDLR	0.442036755	0.1304149575	-1.76105698947496
IL8	0.5830197575	0.0157057475	-5.2141802611923
PTGS2	0.028375925	0.00895891	-1.66327230193288
TYMS	1.036004335	0.0377164125	-4.77969377290225
DAD1	0.7905797575	0.417329135	-0.921725372971777
FABP1	1.475777785	0.0031540175	-8.87006912392869
DPP4	0.0731423325	0.022754305	-1.68456711300381
MX2	0.0963111275	0.006898155	-3.80342004106394
TNFRSF11B	0.93243901	0.06711539	-3.79629383413673
DNCL1	1.2286142	2.28123639	0.89278398889528
MAP2K6	0.0352234175	0.064833605	0.880206903277895
AES	3.5941242925	13.1725199475	1.87381915812354
