	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4
FLJ14627	0.00083134	0.00074923	0.00094719	0.00055391	0.00170766	0.00160841	0.00146765	0.00158103	0.00059099	0.00138587	0.00090923	0.00092435	0.00104755	0.00112014	0.00125534	0.00093263
FLJ14816	0.01982365	0.01866496	0.01832103	0.02057081	0.00040984	0.00040984	0.00048788	0.00045073	0.01583144	0.01863323	0.01546502	0.01661073	0.00639359	0.00791457	0.00631711	0.00522907
DNAJC4	0.42269166	0.4237636	0.40520429	0.40748372	0.27886313	0.28247557	0.28960882	0.27719898	0.40210638	0.40292288	0.41460341	0.3956805	0.307191	0.32125985	0.31481174	0.31862687
DCD	0.00038713	0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984	0.00040984	0.00038311	0.00038311	0.00038311	0.00038311	0.00039714	0.00039714	0.00039714	0.00039714
CRLF3	0.14216851	0.1385397	0.13976352	0.14107368	0.06064901	0.06337344	0.0619613	0.06390347	0.14077805	0.13849531	0.13699584	0.13806995	0.08572416	0.08087423	0.08616254	0.08574901
DIRAS2	0.01219902	0.01255715	0.01158918	0.01139781	2.35052491	2.39226374	2.39067379	2.35823294	0.45608426	0.43837133	0.46612385	0.46632621	1.44827247	1.49722352	1.51900505	1.53912498
C1orf113	0.32960469	0.34569423	0.3570597	0.3468838	0.1971557	0.20160827	0.1986218	0.20913427	0.31916821	0.33161499	0.33384038	0.3373664	0.22293824	0.24196765	0.24422175	0.244246
CHMP2B	0.26653521	0.25471657	0.27862402	0.27136005	0.3690687	0.36935247	0.37276887	0.36966517	0.30948506	0.32091558	0.31802464	0.325861	0.31803526	0.32252545	0.33768159	0.32252384
DNAJB1	0.98290882	1.04682342	0.99969051	0.98008291	1.08874156	1.09206307	1.1708256	1.15078568	1.02507896	1.10540447	1.10662055	1.11785833	0.98413561	0.95022734	0.96271196	1.02493181
CYP3A4	0.00147549	0.00124659	0.00148482	0.00210526	0.00040984	0.00040984	0.00040984	0.00040984	0.00138691	0.0011675	0.00214561	0.00164444	0.00039714	0.00039714	0.000633	0.0003978
FLJ20014	0.03867103	0.03896008	0.03970103	0.04284973	0.05980406	0.05085381	0.05506669	0.06292998	0.04041043	0.04375392	0.04259616	0.04674268	0.05026847	0.04982139	0.05015062	0.05387134
RNF186	0.02160184	0.01583433	0.01862356	0.01216143	0.00043506	0.00040984	0.00055259	0.00080289	0.01437307	0.01592418	0.01587589	0.01479532	0.00445328	0.00539827	0.00534503	0.00575612
FLJ23584	0.02946141	0.03057299	0.03106146	0.03027747	0.03042475	0.02948997	0.02878402	0.02768514	0.03064776	0.03019354	0.03121536	0.03172376	0.02799747	0.02809573	0.02991006	0.02875525
FBXO39	0.00040596	0.00086358	0.00130516	0.00076081	0.00104929	0.00152343	0.00142372	0.00151714	0.00131369	0.00168152	0.00066101	0.0012315	0.00090104	0.00154489	0.00127414	0.00049878
DEFB125	0.00038713	0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984	0.00040984	0.00038311	0.00038311	0.00038311	0.00038311	0.00039714	0.00039714	0.00039714	0.00039714
ESX1L	0.03474828	0.03019773	0.0357079	0.032909	0.00040984	0.00040984	0.00040984	0.00040984	0.02557998	0.03146315	0.03080947	0.03123547	0.00974213	0.00873312	0.00929349	0.01067461
FLJ37549	0.02257088	0.02189595	0.02070104	0.02191101	0.09348662	0.09806147	0.09090106	0.09667006	0.03979424	0.04045476	0.04115525	0.03922517	0.06129707	0.06560712	0.07266527	0.06814082
FLJ35894	0.00038713	0.00038713	0.00038713	0.00038713	0.00040984	0.00040984	0.00040984	0.00040984	0.00038311	0.00038311	0.00038311	0.00038311	0.00039714	0.00039714	0.00039714	0.00039714
FBXL12	0.2090621	0.20614523	0.21276937	0.21298562	0.09700358	0.10510993	0.10806613	0.10429244	0.20582917	0.22018661	0.19885926	0.21793933	0.13922822	0.13694101	0.14196266	0.13773428
DLEU1	0.31688939	0.32529823	0.33261442	0.30156854	0.13836976	0.1381016	0.14402537	0.14363714	0.31623864	0.33573488	0.31264247	0.30560456	0.18933679	0.19935983	0.18810483	0.18795964
FLJ25168	0.08099083	0.08859516	0.08367261	0.08781405	0.23543213	0.23518131	0.24186967	0.26250285	0.12960837	0.1188191	0.12634883	0.12257997	0.18186148	0.17671536	0.18232796	0.18307024
FXYD7	0.00792658	0.00613702	0.00833044	0.00728299	1.43237187	1.55124073	1.52239684	1.55938922	0.29468448	0.29517889	0.29903233	0.31589391	0.97777855	0.88499415	0.96825407	0.9208416
FLJ20244	0.52512349	0.51681855	0.54363512	0.56669827	0.22181709	0.21550772	0.21856702	0.21845199	0.51227725	0.47338697	0.51266615	0.50660804	0.32472129	0.32897125	0.32054592	0.30818519
UBC	7.85276324	7.78930711	8.02909053	7.90518344	10.98884452	11.02572561	11.11354495	11.47746931	8.84803019	9.02303448	8.73737238	9.36627156	9.08022153	9.27768135	9.22667018	9.33146306
18S	50606.60597	50567.94078	50570.89497	50599.9332	57225.45666	60890.63974	64146.96065	62408.69872	56978.81668	58202.87104	59390.15017	54899.58298	50393.75746	53018.55242	54819.30244	49768.32803
HPRT1	1.33083215	1.29432679	1.33808707	1.31227477	1.22120273	1.242758	1.26551267	1.26457083	1.16289829	1.16891026	1.11687004	1.17105871	1.10838973	1.22704035	1.15562406	1.17570301
TP53	2.4621278	2.47183999	2.59083135	2.62889672	0.22285458	0.23861371	0.24224733	0.22047575	1.9108314	1.94551733	1.83722415	1.98661685	0.81397455	0.84994485	0.86780631	0.84694148
SLC25A4	0.60615322	0.63363328	0.64165189	0.63960488	3.15351163	3.31838924	3.23968396	3.29995539	1.19267016	1.19694596	1.21671428	1.22220162	2.47052375	2.50973544	2.46770224	2.49715793
TNFRSF9	0.02879063	0.0285456	0.02879847	0.02867088	0.0004356	0.00050547	0.00077988	0.00040849	0.02459038	0.02576236	0.02529219	0.02400362	0.00985761	0.00985045	0.01173314	0.01044585
S100A5	0.00270507	0.00340115	0.00289423	0.00225932	0.00072542	0.00095136	0.00130146	0.00145808	0.00193122	0.00271877	0.00315279	0.00291646	0.00136152	0.00126939	0.00187414	0.00219094
SCN9A	0.01457939	0.01665516	0.01454156	0.01623984	0.00600058	0.00625395	0.00675092	0.00646442	0.01332783	0.01470796	0.01187649	0.01458295	0.00878115	0.01010937	0.00769496	0.00937866
SCP2	0.29369971	0.29370667	0.2876982	0.29668034	0.38160794	0.396184	0.38260719	0.37607374	0.31787716	0.337967	0.30947785	0.31301796	0.3454667	0.34223034	0.34240678	0.34040715
SLC5A2	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	0.00037712	0.00037712	0.00037712	0.00037712	0.00040471	0.00040471	0.00040471	0.00040471
SPIB	0.00767988	0.00773586	0.00752156	0.00714833	0.00074767	0.00057318	0.00040849	0.00040849	0.00805134	0.00683665	0.00865647	0.00646961	0.00312404	0.00289786	0.00257489	0.00290251
CLEC3B	0.00270679	0.00250903	0.00252023	0.00253719	0.01305841	0.01399493	0.01235603	0.01255292	0.00368164	0.00373925	0.00360276	0.0037202	0.00887067	0.00971009	0.00815213	0.00895361
UBE2B	0.39629822	0.3941017	0.38674068	0.40064304	0.61935467	0.60657972	0.61394359	0.63827257	0.48492822	0.49695703	0.4693923	0.48273746	0.53848389	0.51839829	0.55023979	0.54253898
RHAG	0.44228773	0.45227558	0.45599567	0.44147485	0.00040849	0.00040849	0.00040849	0.00040849	0.39100633	0.40976127	0.39978369	0.42025882	0.13436996	0.13278196	0.14118581	0.13141984
SLC12A3	0.16453417	0.15852676	0.16295127	0.16289515	0.00040849	0.00040849	0.00040849	0.00040849	0.14986499	0.15474295	0.15153604	0.16242662	0.05753231	0.05500989	0.05533282	0.05061076
TGFBI	0.14590266	0.15028286	0.15578803	0.14709694	0.00495636	0.00529228	0.00472793	0.00492761	0.10356303	0.10718253	0.10866502	0.1109902	0.0505989	0.05318989	0.05235869	0.04904894
TGM1	0.00762297	0.00671969	0.00796862	0.00912564	0.01151102	0.01168761	0.01276366	0.01272645	0.00888978	0.00886283	0.01030777	0.00845807	0.01086311	0.01040446	0.01187189	0.01095998
TYR	2.64967194	2.64210984	2.66730377	2.68513873	0.00040849	0.0004393	0.00060763	0.00040849	2.2282602	2.37535284	2.27247974	2.26690071	0.75109306	0.80738635	0.77610795	0.77628512
SLC10A2	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	0.00037712	0.00037712	0.00037712	0.00037712	0.00040471	0.00040471	0.00040471	0.00040471
SOD1	2.09900407	2.18194362	2.42977862	2.25612186	3.23359194	3.00943916	3.39190234	3.18216215	2.5311791	2.62652082	2.58956719	2.45486129	2.58489123	2.948961	3.05937264	2.97977472
SLC2A4	0.04293604	0.03915045	0.03845784	0.03787261	0.00040849	0.03691206	0.02964681	0.03216753	0.05374642	0.05118355	0.04825379	0.04536282	0.04298709	0.04122057	0.03218741	0.03585156
SLC12A2	0.17942866	0.17970797	0.20456236	0.21150623	0.52143577	0.54928138	0.59096414	0.54246465	0.26660457	0.25733374	0.28009924	0.26866749	0.40418069	0.41095501	0.43696491	0.41515735
TFF1	0.81304413	0.84137232	0.88662944	0.86657616	0.00040849	0.00040849	0.00040849	0.00040849	0.69037122	0.70690047	0.68340034	0.69906083	0.20880858	0.20435367	0.20632416	0.21598332
THBS1	0.59295343	0.5988248	0.6090664	0.60533056	0.08208904	0.08078122	0.08631093	0.08446121	0.4896082	0.52968945	0.55052886	0.5396091	0.2382674	0.23532307	0.22472949	0.25652413
RECQL4	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	0.00037712	0.00037712	0.00037712	0.00037712	0.00040471	0.00040471	0.00040471	0.00040471
POLR2A	0.9914251	0.99119843	1.01584405	1.00173406	0.95934842	0.97843753	1.04260172	1.02181459	0.98442044	0.99295769	1.00614099	1.01678656	1.01654181	0.99350136	0.98036516	1.00999313
RAD52	0.07140072	0.07306165	0.06790832	0.07446463	0.06838814	0.07103352	0.07321145	0.07442961	0.07820717	0.08085996	0.07670257	0.08029994	0.0700449	0.0746977	0.07603896	0.06943857
TRIM21	0.08036194	0.08051449	0.08620442	0.08345463	0.03412559	0.03429275	0.03284265	0.03137343	0.0808468	0.07467912	0.07950626	0.081586	0.0486348	0.04670812	0.05075931	0.04803871
RORC	0.01942025	0.02105405	0.02144714	0.02000623	0.0251813	0.02607262	0.02591403	0.02749473	0.02020858	0.0213184	0.02051706	0.02299523	0.02367582	0.02493377	0.02660054	0.02546433
TNFRSF8	0.02166268	0.02171669	0.02138055	0.02513251	0.00118238	0.00102299	0.00069427	0.00072737	0.0215372	0.02002417	0.02281564	0.02189104	0.00839163	0.00730069	0.00944176	0.00877328
TNFSF8	0.00037878	0.00037878	0.00037878	0.00037878	0.00303118	0.00324034	0.00304918	0.00314208	0.0010273	0.00070273	0.00075584	0.00070716	0.00187313	0.00266967	0.00211291	0.00259039
TFRC	1.04619054	1.04298973	0.94699129	1.02504353	0.20683306	0.19958989	0.20335003	0.21557587	0.88640271	0.91482736	0.96994432	0.96268955	0.4446326	0.44781848	0.4822344	0.44100692
SCAP1	0.02001118	0.01914872	0.01849857	0.01873454	0.00148617	0.00147482	0.00137578	0.00123427	0.0163767	0.0162578	0.01692251	0.01661569	0.00623855	0.00673526	0.00633647	0.00566955
SRPK1	0.61671882	0.61580967	0.63698545	0.62123835	0.20651155	0.21794674	0.21386785	0.20296043	0.58387373	0.58158231	0.57820735	0.58034425	0.34277645	0.35563714	0.34641991	0.33927187
TK1	1.14747081	1.22894357	1.15782255	1.20295313	0.01644639	0.01527978	0.01552956	0.01430299	0.96998394	0.94287862	0.98885876	0.96749553	0.33578626	0.33953583	0.34543028	0.3469286
TJP2	0.18851279	0.19351393	0.1932186	0.19003958	0.4044268	0.41253473	0.40897763	0.40942812	0.24406889	0.2495083	0.26689609	0.25014469	0.3671214	0.37598993	0.36819396	0.3675968
TIE1	0.02129372	0.02197486	0.02191894	0.02180647	0.06418707	0.06609246	0.05994187	0.06562676	0.03875948	0.04000393	0.0381358	0.03930771	0.05488028	0.05304178	0.05125079	0.05984184
SHH	0.01614679	0.01645791	0.01387188	0.01370827	0.0185307	0.01771995	0.01874005	0.01900407	0.01734409	0.01755601	0.01723526	0.01527832	0.01650526	0.01615683	0.01750398	0.01674437
TIAM1	0.16859656	0.17837293	0.1768549	0.17287457	3.04892955	3.12343131	3.07909712	3.04732394	0.68213797	0.70295638	0.71651825	0.72093512	1.74853371	1.86099533	1.90710285	1.92431426
TPD52	0.26999389	0.28191598	0.28421386	0.27874286	0.49189694	0.48691495	0.49772666	0.54128809	0.34704649	0.34626774	0.33459305	0.3602081	0.41087138	0.40809234	0.42690609	0.45436856
SRF	0.63708125	0.60277217	0.59695663	0.61190671	0.49001224	0.52359576	0.50096279	0.49203787	0.63592664	0.66305597	0.61047061	0.66856846	0.57642441	0.56343509	0.57948712	0.59736506
TCOF1	0.7508643	0.76336777	0.76268673	0.76497814	0.27111914	0.27487954	0.2822222	0.26519275	0.64791756	0.67091511	0.66364667	0.66919231	0.40620344	0.40303235	0.40735489	0.4123671
TAP1	0.43355865	0.43406712	0.45165899	0.45898373	0.33875514	0.32049921	0.32201863	0.32220058	0.40491523	0.42242814	0.42465071	0.41894568	0.34390391	0.36173706	0.35628005	0.35238553
SERPINB5	0.04237517	0.0432119	0.0385114	0.04025636	0.00040849	0.00040849	0.00040849	0.00040849	0.03748998	0.03761572	0.03534763	0.03502948	0.0116144	0.01081202	0.0119401	0.01078056
USP5	0.51728637	0.4980497	0.50228392	0.50755199	0.5650309	0.57646226	0.61051994	0.60835422	0.66779557	0.6855528	0.67024941	0.62923257	0.67782337	0.66220844	0.69270848	0.65805045
SERPINB7	0.00278173	0.00286486	0.00289972	0.00298333	0.00040849	0.00040849	0.00040849	0.00040849	0.00270394	0.00312775	0.00371847	0.00281349	0.00106004	0.00100279	0.00127497	0.00118203
SNX4	0.74714471	0.72688387	0.74531886	0.76346807	0.7440426	0.76960007	0.73677594	0.74845241	0.75964746	0.79314776	0.79768984	0.81747262	0.77547305	0.75375657	0.75238447	0.79307267
TNFSF14	0.00460233	0.00475369	0.00503761	0.00502656	0.00055061	0.00083836	0.00058259	0.00070268	0.00331487	0.00401377	0.00500676	0.00546549	0.00149934	0.00133352	0.00178918	0.00243556
SNAP23	0.49400766	0.51205548	0.50276746	0.50253477	0.16439213	0.15367803	0.16503402	0.16608507	0.43475879	0.4264568	0.43817154	0.43911637	0.25614497	0.26287606	0.2561279	0.25334073
SGCE	0.16906711	0.17698679	0.17198404	0.17512175	0.19726295	0.19822259	0.19270648	0.18270722	0.2067757	0.20086349	0.19081834	0.20200151	0.19478947	0.18587067	0.1918259	0.1865237
SDHA	0.68220495	0.71455242	0.76287641	0.74417554	0.62834413	0.65214292	0.67247684	0.70697115	0.69222701	0.70612676	0.73793153	0.77113651	0.63727424	0.64387496	0.69873379	0.69809989
SNRPD3	1.23534163	1.18222545	1.22822785	1.24772291	0.72545216	0.74228431	0.78020057	0.75676088	1.28346856	1.31654504	1.32276335	1.33800265	0.87078738	0.9535477	0.98734042	0.90633548
TRIP13	1.15263473	1.20692359	1.22001846	1.2272254	0.00924579	0.00936194	0.01166408	0.01176245	0.97635551	0.99542487	1.02334269	1.03483062	0.34591955	0.35119314	0.35991958	0.35348029
TRFP	0.18540117	0.17524095	0.18253029	0.17890614	0.06856998	0.06340573	0.06112712	0.06272889	0.17027555	0.1692982	0.17556517	0.17379385	0.09740003	0.09387003	0.09468645	0.10167562
TRAF4	0.5189818	0.53083297	0.49093355	0.50213479	0.10833082	0.10627195	0.12205801	0.10917452	0.50713279	0.51707458	0.49126021	0.46516399	0.27776598	0.26713463	0.2568294	0.26020929
2-Sep	2.77754315	2.83307881	2.94090874	2.91377043	2.20588996	2.29859484	2.27912036	2.33110102	2.82078946	2.81439683	2.95060329	2.80506786	2.38069942	2.4766569	2.46605322	2.49651974
SFRS10	0.4356548	0.44090904	0.43843691	0.45337284	0.20214184	0.20194111	0.21159828	0.20340417	0.39931366	0.40987364	0.4073085	0.40802949	0.28140821	0.27895042	0.29100865	0.28777144
SPARCL1	0.10422082	0.10195803	0.10174722	0.10104649	26.32644223	27.55448414	26.33502188	26.34599813	5.31568675	5.24228628	5.28641931	5.17371642	17.43686438	17.50620789	17.62255989	18.20826612
SYNGR1	0.53618781	0.51083926	0.54163221	0.535689	4.19554545	4.40950054	4.50205366	4.31304998	1.25564924	1.26854934	1.2716045	1.28984763	2.6612588	2.73019813	2.64371398	2.78050036
SFRS11	2.17930859	2.22344996	2.32106655	2.30109971	1.77330678	1.72462098	1.78096755	1.82445544	2.10851209	2.09421667	2.11640391	2.11295122	1.73681477	1.80259118	1.8298349	1.90117185
STOML1	0.09546372	0.09429952	0.09817617	0.09217522	0.44909009	0.44847123	0.43311645	0.43507559	0.17150326	0.17671425	0.17493157	0.17071926	0.35526299	0.36604158	0.3463921	0.35689108
SERPINI1	0.11142345	0.10361758	0.1065857	0.10918231	4.37910697	4.50554077	4.47751397	4.36791449	0.88646859	0.84269586	0.90484787	0.87956033	2.85004742	2.9237962	2.90181606	2.88898784
RPL3L	0.00283681	0.00190006	0.00465405	0.00221584	0.0006905	0.00040849	0.00040849	0.00040849	0.00126055	0.00267885	0.00150733	0.00236042	0.00057745	0.0011633	0.00047505	0.00057949
SFPQ	3.78516512	3.91035749	3.88955853	3.61879844	1.92728286	2.00086431	1.83575138	1.94351068	3.81934497	3.94438996	4.01916031	3.89364834	2.75383844	2.97239295	2.72663038	2.70882216
SLC1A6	0.01556103	0.01880302	0.01777006	0.01638794	0.92755861	0.89519947	0.92098804	0.86573473	0.18353433	0.18098155	0.18910971	0.18286319	0.61858862	0.61873454	0.60512142	0.60496754
SLC17A1	0.00333488	0.00382967	0.00291832	0.00258582	0.00040849	0.00040849	0.00040849	0.00040849	0.00248612	0.00283657	0.002684	0.00266516	0.00105548	0.00078563	0.00086902	0.00129765
SCO2	0.02405618	0.02430058	0.02294518	0.02378574	0.01774083	0.01653642	0.01710798	0.0169576	0.02313862	0.02634349	0.02547948	0.02326353	0.02153047	0.02199612	0.01998937	0.02268689
THRB	0.07478059	0.0711417	0.06776359	0.07316064	0.57225735	0.6214786	0.58996898	0.58394249	0.18117636	0.18349338	0.19124834	0.18551285	0.4243602	0.41233678	0.41735942	0.42228584
STAT4	0.00482386	0.00374455	0.00472433	0.00542084	0.15175858	0.1484798	0.16094845	0.15586649	0.03454552	0.03326996	0.03617555	0.03697061	0.09427981	0.09931877	0.09497509	0.10456355
TFAP2C	0.22213546	0.23828551	0.24834215	0.24396258	0.00427133	0.00386635	0.00559439	0.00447325	0.1664519	0.16925599	0.17726583	0.16987608	0.06987817	0.072621	0.07695204	0.07406431
RUNX1T1	0.00060662	0.00068661	0.00057224	0.00055118	0.10477674	0.10910619	0.11336779	0.10302784	0.01954606	0.02123444	0.02164123	0.02206131	0.0652796	0.07296356	0.06862872	0.07032063
TP73	0.03426534	0.03582424	0.03228352	0.03090847	0.02758145	0.02671008	0.02744955	0.03123209	0.03498627	0.03390934	0.03261221	0.03405563	0.02989863	0.03246618	0.03018693	0.03112326
SERPINB2	0.14077332	0.1490903	0.13468295	0.13673889	0.00040849	0.00040849	0.00040849	0.00040849	0.12325237	0.12092859	0.12068731	0.1141851	0.04153088	0.04310442	0.03938725	0.03698853
STAT5A	0.4614762	0.49171393	0.50580958	0.52040013	0.08631078	0.08882549	0.08897484	0.08597627	0.39028786	0.39264741	0.38362288	0.41059077	0.19612235	0.19791255	0.20149123	0.19109456
UGCG	0.29676904	0.28844198	0.2961938	0.28953218	0.25741053	0.24211708	0.26270414	0.24509149	0.2675331	0.29905793	0.33950729	0.37077658	0.28523146	0.28026655	0.28727999	0.28223933
TPST2	0.0210736	0.02355988	0.02440877	0.02577947	0.01905491	0.02099958	0.02171389	0.0207505	0.01560152	0.01885137	0.03214114	0.03876568	0.02417013	0.02479628	0.02638756	0.02475588
SLC9A5	0.03983612	0.04187326	0.03964983	0.04108698	0.08499054	0.08652702	0.08451862	0.08742824	0.05376434	0.0500729	0.05458239	0.05162247	0.07745743	0.07330018	0.07435005	0.07498145
SCGB2A2	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	0.00037712	0.00037712	0.00037712	0.00037712	0.00040471	0.00040471	0.00040471	0.00040471
SLC22A4	0.00619629	0.00629602	0.00762319	0.00835854	0.00324268	0.00313654	0.0040048	0.00399666	0.00744523	0.00731747	0.00808024	0.0075237	0.00473508	0.0044876	0.00487428	0.00499555
THRSP	0.00845911	0.00830798	0.00786108	0.00849561	0.01569853	0.01819315	0.01840701	0.01583601	0.00979764	0.00798073	0.00938556	0.00839822	0.01381449	0.01490455	0.01365598	0.01343341
TJP1	0.18189874	0.1823298	0.18296809	0.18088364	0.17113626	0.1748054	0.17861811	0.1803133	0.19136996	0.19658874	0.20431884	0.19570239	0.1796138	0.18747695	0.1964926	0.19118982
TNNC2	0.0024349	0.00238033	0.00277817	0.00261859	0.00040849	0.00040849	0.00040849	0.00040849	0.00243625	0.00243183	0.00163484	0.00270783	0.00065551	0.00040471	0.00063255	0.00111932
TNNI2	0.06556852	0.06777679	0.06775819	0.06347452	0.00063411	0.00062151	0.00040849	0.00041298	0.05133667	0.05148886	0.05522784	0.05164998	0.02079727	0.01900536	0.02004731	0.02018091
ROM1	0.00606303	0.00433686	0.00522087	0.00531515	0.06717454	0.06560371	0.06872903	0.07086157	0.01664317	0.01651652	0.01511303	0.01709936	0.04765388	0.04703321	0.04524904	0.04689463
TNP1	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	0.00037712	0.00037712	0.00037712	0.00037712	0.00040471	0.00040471	0.00040471	0.00040471
SLC16A3	2.49238036	2.40023787	2.40406535	2.35185083	0.07734119	0.07973577	0.07940439	0.07792983	1.79149722	1.83906033	1.76123426	1.81381015	0.70296794	0.69322002	0.68914963	0.66518868
S100A8	0.00228909	0.00229326	0.00293627	0.00290084	0.11365294	0.10141513	0.10529175	0.11173716	0.02383423	0.02228085	0.02311837	0.0212997	0.07365984	0.07523255	0.07912827	0.0794753
SUCLG1	0.58882356	0.57416423	0.58139904	0.54955485	0.61092135	0.62188839	0.59761303	0.59532747	0.67222683	0.67139666	0.67045217	0.63774412	0.62813954	0.63641455	0.63160773	0.6196318
TRA1	2.26672266	2.37865292	2.36053913	2.3150157	0.67540765	0.68972547	0.73668106	0.71784267	1.14045034	1.53358498	2.47515338	3.28179732	1.23231923	1.28295791	1.1746349	1.20208788
TGFBR2	0.80435994	0.81984315	0.7841477	0.76935004	0.30136731	0.33969096	0.32908695	0.33951568	0.8073547	0.79950924	0.81713397	0.77221597	0.53839063	0.51282973	0.50634166	0.53232387
STAT6	0.36242011	0.37138903	0.37652426	0.38504155	0.12642073	0.14148441	0.14741364	0.14645145	0.3346499	0.33794158	0.34733957	0.35720576	0.20000126	0.20158049	0.21588628	0.21609928
SRD5A1	0.30359652	0.31426146	0.31549651	0.30429382	0.30919027	0.31835539	0.33065012	0.29720021	0.31327368	0.32763661	0.31817356	0.31651338	0.29830385	0.30193033	0.29363454	0.29443971
TRPC1	0.12587649	0.11311083	0.1308673	0.12737786	0.64257825	0.63224818	0.62571473	0.64158452	0.21117257	0.20898283	0.23327871	0.22026168	0.45590361	0.44671608	0.44353188	0.43904873
TDG	0.64130892	0.61244869	0.64739882	0.65740434	0.19077623	0.18917314	0.19311826	0.1932723	0.53664982	0.50054917	0.51960302	0.55457367	0.30856707	0.32316553	0.32315331	0.32995427
SFRS3	0.51408474	0.53875346	0.53157138	0.50113979	0.46292294	0.44705093	0.46781483	0.41215534	0.54819845	0.54246914	0.52919849	0.52688738	0.47364035	0.50725206	0.49652662	0.45965713
TMSB4Y	0.00379928	0.0039193	0.00358063	0.00304579	0.01681071	0.01698911	0.01591854	0.01668121	0.00649967	0.00789344	0.00639297	0.00540606	0.01301376	0.01261643	0.01404779	0.01247942
UBC	7.83098658	7.87220481	7.84809517	7.74071319	10.75665564	10.91419434	11.21319913	10.93395201	8.97789069	8.76774525	9.09026776	9.02793794	9.63360621	9.12113136	9.87025661	9.77531053
18S	47154.38937	52121.78818	49387.56365	52913.02106	61263.59001	57842.53979	59115.32413	63886.96525	52370.19078	60139.04676	52853.64652	55877.83292	52510.24149	52763.99459	53658.81336	51710.01884
HPRT1	1.25636567	1.23922581	1.27665267	1.24004284	1.27777321	1.23985502	1.27550918	1.20448339	1.27084211	1.30962045	1.28276436	1.31239014	1.2512667	1.25695493	1.21738911	1.27823304
MYC	3.7248729	3.69436338	3.66019778	3.64959933	0.09418098	0.08799956	0.08720981	0.09295152	2.59976874	2.59365546	2.92612205	2.90840691	1.19199298	1.27754289	1.24039102	1.21141123
RAD51	0.54601851	0.56563007	0.52316937	0.55961033	0.00700296	0.00742009	0.00715433	0.00649751	0.33864224	0.36728188	0.32867235	0.33276692	0.1478547	0.14608804	0.14699447	0.14025601
MDM4	0.37893171	0.39950298	0.38187391	0.40972557	0.25450968	0.24307711	0.24336296	0.26544737	0.28316557	0.28828581	0.27707786	0.2992729	0.26284026	0.25583114	0.25169	0.00087582
MMP7	0.00069351	0.00062704	0.00064852	0.00101123	0.00047983	0.00047983	0.00047983	0.00047983	0.0006003	0.00048186	0.00045102	0.00060314	0.00038602	0.00038602	0.00058353	0.00049229
NEUROD1	0.0045511	0.00389014	0.00365861	0.00379154	1.28205696	1.34334981	1.30557485	1.20889821	0.24421805	0.22589577	0.24706211	0.23881639	0.92875644	0.79277119	0.84131255	0.92025717
NVL	0.21684035	0.21522689	0.20939313	0.2181037	0.09632862	0.10026649	0.09909807	0.09482717	0.16958157	0.16158025	0.17630886	0.16438423	0.1128237	0.10855712	0.1041605	0.10572696
PEX13	0.23953117	0.25538939	0.25975147	0.24923409	0.18594963	0.19413901	0.19549791	0.19433172	0.21987515	0.22723044	0.23131785	0.22210824	0.18810979	0.18792928	0.19043181	0.19515952
PGM1	0.37931016	0.38903783	0.39581787	0.37431498	0.29569284	0.28812222	0.26484851	0.29724075	0.28287853	0.36579716	0.41066548	0.40114862	0.22049827	0.26645865	0.23333202	0.28402215
PLS1	0.07937579	0.07425931	0.08218194	0.07943808	0.02396796	0.02558032	0.02679377	0.02774093	0.06100957	0.06641644	0.06097953	0.0588007	0.04048334	0.03976618	0.04265389	0.04189164
PMP2	0.01072962	0.01083334	0.01168587	0.01097992	3.45492702	3.54867063	3.18448237	3.32813892	0.31296888	0.31952838	0.3035419	0.34272884	1.67344019	1.74574851	1.5282802	1.66820507
POLB	0.1801032	0.17244805	0.17627612	0.17445786	0.30600457	0.31070761	0.3061214	0.32382336	0.15523542	0.16051403	0.14973089	0.1591988	0.23969402	0.26187453	0.24267656	0.25537601
POLE2	0.15521759	0.14694488	0.14592281	0.15166501	0.00783844	0.00738259	0.0084603	0.00700831	0.106007	0.10769959	0.08496446	0.09917522	0.04624668	0.04832108	0.04342892	0.04373458
PPP1CC	3.24167533	3.29279082	3.46625979	3.2824382	1.6378083	1.69023857	1.7502529	1.70151051	2.52437534	2.56842315	2.62079356	2.54521334	1.89721331	2.06383169	1.94035257	2.06729324
PRPSAP1	0.37898669	0.39596349	0.38436586	0.38278622	0.21860414	0.22768694	0.22660928	0.22623071	0.30336886	0.31299895	0.31505905	0.31960445	0.38118687	0.36637256	0.39851833	0.3824763
PSD	0.03984933	0.04044083	0.03957397	0.03962152	2.4177288	2.3885177	2.15448812	2.4479976	0.47709457	0.4909691	0.47804891	0.48008241	1.73520872	1.65982384	1.73199137	1.80677391
